,Ride Duration,Source
Orbiter,15,
Barnstormer,1.05,
Big Thunder Mtn.,3.416666667,
Buzz SRS,4.05,
Dumbo,1.5,
Enchanted Tales,20,https://plandisney.disney.go.com/question/long-experience-enchanted-tales-belle-407817/
Mansion,7.5,
Small World,10.5,
Jungle Cruise,9.083333333,
Mad Tea Party,1.5,
Magic Carpets,1.5,
Winnie the Pooh,3.133333333,
Ariel Grotto,3,https://touringplans.com/magic-kingdom/attractions/ariels-grotto
Cinderella & Princess,10,https://touringplans.com/magic-kingdom/attractions/princess-fairytale-hall-cinderella
Daring Show,7,https://touringplans.com/magic-kingdom/attractions/petes-silly-sideshow-goofy-donald
Dashing Show,3,https://touringplans.com/magic-kingdom/attractions/petes-silly-sideshow-minnie-daisy
Mickey Town Theater,12,https://www.undercovertourist.com/orlando/magic-kingdom/mickey-mouse-town-square-theater-character/
Princess Tiana & Princess,10,https://touringplans.com/magic-kingdom/attractions/princess-fairytale-hall-rapunzel-tiana
Philharmonic,12,
Laugh Floor,11,
Peter Pan's Flight,2.75,
Pirates,8.5,
Regal Carrousel,2,
Seven Dwarfs Mine Train,2.5,
Space Mtn.,2.5,
Tiana Bayou Adv.,9,https://darkridedatabase.com/rides/tianas-bayou-adventure/
TL Speedway,4.75,
TL Mover,10.06666667,
TRON,2,https://en.wikipedia.org/wiki/Tron_Lightcycle_Power_Run
Under the Sea,6.25,
Fireworks,16,
Entrance,0,
Exit,0,