Ride Name,Alias,Latitude,Longitude
Astro Orbiter,Orbiter,28.41856882,-81.57912386
The Barnstormer,Barnstormer,28.42088082,-81.57831937
Big Thunder Mountain Railroad,Big Thunder Mtn.,28.4204644,-81.58448437
Buzz Lightyear's Space Ranger Spin,Buzz SRS,28.41833258,-81.57957929
Dumbo the Flying Elephant,Dumbo,28.42054373,-81.57867285
Enchanted Tales with Belle,Enchanted Tales,28.42105678,-81.5809429
Haunted Mansion,Mansion,28.42065698,-81.58299277
"""it's a small world""",Small World,28.42070513,-81.58192713
Jungle Cruise,Jungle Cruise,28.41823187,-81.58338097
Mad Tea Party,Mad Tea Party,28.42006705,-81.57961964
The Magic Carpets of Aladdin,Magic Carpets,28.41868104,-81.58349119
The Many Adventures of Winnie the Pooh,Winnie the Pooh,28.42016652,-81.58054476
Meet Ariel at Her Grotto,Ariel Grotto,28.41901443,-81.58173672
Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,Cinderella & Princess,28.42026351,-81.58098625
Meet Daring Disney Pals as Circus Stars at Pete's Silly Side Show,Daring Show,28.42137819,-81.57906628
Meet Dashing Disney Pals as Circus Stars at Pete’s Silly Side Show,Dashing Show,28.42131357,-81.57889655
Meet Mickey at Town Square Theater,Mickey Town Theater,28.41679499,-81.58083577
Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,Princess Tiana & Princess,28.42002916,-81.58100906
Mickey's PhilharMagic,Philharmonic,28.42025696,-81.58147778
Monsters Inc. Laugh Floor,Laugh Floor,28.41855902,-81.5796832
Peter Pan's Flight,Peter Pan's Flight,28.42052523,-81.58184857
Pirates of the Caribbean,Pirates,28.41826998,-81.58420225
Prince Charming Regal Carrousel,Regal Carrousel,28.42047108,-81.5811684
Seven Dwarfs Mine Train,Seven Dwarfs Mine Train,28.42079622,-81.5800664
Space Mountain,Space Mtn.,28.41929351,-81.5775066
Tiana's Bayou Adventure,Tiana Bayou Adv.,28.41930745,-81.58483637
Tomorrowland Speedway,TL Speedway,28.41958426,-81.57935265
Tomorrowland Transit Authority PeopleMover,TL Mover,28.41846834,-81.57898783
TRON Lightcycle / Run,TRON,28.42042943,-81.57691923
Under the Sea ~ Journey of The Little Mermaid,Under the Sea,28.42126857,-81.5799707
Fireworks,Fireworks,28.41876529,-81.58120465
Entrance,Entrance,28.41605379,-81.58117451
Exit,Exit,28.41617575,-81.58082169