ingredient,price,metric
lemon,0.99,lb
cream,15.96,lb
yogurt,4.46,lb
vanilla,111.84,lb
shrimp,12.99,lb
cilantro,4.33,lb
jalapeno,1.15,lb
parsley,4.97,lb
vinegar,1.24,lb
tortillas,4.78,lb
red pepper,1.5,lb
fish,9.99,lb
avocado,2.58,lb
lime,2.0,lb
chicken stock,0.7,lb
parmesan,4.99,lb
vegetable stock,0.7,lb
beef stock,0.7,lb
garam masala,79.88,lb
spinach,2.99,lb
soy sauce,1.49,lb
flour,0.528,lb
rice,0.755,lb
spaghetti,1.248,lb
"bread, white",1.49,lb
"bread, whole wheat",1.938,lb
cookies,3.317,lb
ground chuck beef,3.211,lb
ground beef,2.774,lb
ground beef extra lean,3.878,lb
chuck roast,3.64,lb
chuck roast boneless,4.306,lb
round roast boneless,4.429,lb
round roast,4.125,lb
beef for stew,4.326,lb
steak,4.554,lb
sirloin steak,5.271,lb
bacon,4.84,lb
pork chops bone-in,3.737,lb
pork chops boneless,4.065,lb
ham,2.294,lb
bologna,3.033,lb
whole chicken,1.305,lb
chicken breast bone-in,2.307,lb
chicken legs,1.452,lb
turket,1.581,lb
eggs,1.683,dozen
milk,3.622,gal
butter,3.605,lb
american cheese,3.922,lb
cheddar cheese,5.443,lb
ice cream,4.854,lb
apples,1.317,lb
banana,0.614,lb
orange,1.014,lb
grapefruit,1.055,lb
pear,1.389,lb
peach,1.767,lb
strawberry,1.613,12 oz
grapes,2.378,lb
cherries,3.828,lb
potatoe,0.685,lb
iceburg lettuce,0.967,lb
tomato,1.559,lb
cabbage,0.687,lb
celery,1.018,lb
pepper,2.521,lb
brocolli,1.758,lb
orange juice,2.634,12 oz
bean,1.376,lb
sugar,0.684,lb
margarine,1.153,lb
peanut butter,1.961,lb
coffee,5.234,lb
wine,11.928,lb
all uncooked ground beef,3.497,lb
all uncooked beef roasts,4.439,lb
other steaks,5.833,lb
other beefs,3.865,lb
other pork chops,3.55,lb
other pork,2.566,lb
chicken breast boneless,3.127,lb
romaine lettuce,1.638,lb
salt,2.5,oz
cinnamon,5.0,oz
paprika,3.5,oz
garlic powder,4.5,oz
onion powder,4.25,oz
turmeric,6.0,oz
ginger,5.5,oz
cumin,4.75,oz
oregano,3.75,oz
basil,3.25,oz
thyme,3.75,oz
nutmeg,6.5,oz
cloves,7.0,oz
tomatoes,1.99,lb
black pepper,18.99,oz
chili,2.5,each
coriander,12.99,oz
jalapenos,1.25,each
mango,1.5,each
oil,4.99,bottle
olives,5.99,jar
onions,1.29,lb
peppers,2.49,lb
pork loin,6.99,lb
buttermilk,2.5,lb
corn flakes cereal,4.0,lb
beer,1.5,lb
bay leaves,20.0,lb
asparagus,4.5,lb
pears,2.0,lb
green onions,1.5,lb
purple onions,1.2,lb
white onions,1.0,lb
baking powder,5.0,lb
sweet potatoes,1.5,lb
balsamic vinegar,5.0,lb
salmon,15.0,lb
black beans,1.8,lb
baking soda,2.5,lb
bay leaf,20.0,lb
beans,1.5,lb
bok choy,3.0,lb
bell pepper,3.5,lb
sesame seeds,8.0,lb
sesame oil,6.5,lb
brown sugar,2.5,lb
vegetable oil,3.0,lb
olive oil,6.5,lb
shallots,4.0,lb
carrots,1.2,lb
capers,15.0,lb
cardamom,30.0,lb
mozarella cheese,12.0,lb
chicken broth,2.5,lb
chicken breast,5.5,lb